PARTICIPANT_A,PARTICIPANT_B,MI,H_A,H_B,SU
31,45,0.5466776804344224,2.342998725264747,2.011323352512478,0.25109657515894557
32,39,0.6847383998757246,2.208747525529466,2.1875434516802765,0.3115073153371287
32,43,0.5002851719257027,2.208747525529466,2.050556252305743,0.23491406014715982
32,46,0.6143808997259047,2.208747525529466,2.057547442033673,0.28801613784188596
33,35,0.590654185791067,2.1012344978062085,2.2845224783811124,0.2693510785016372
33,38,0.39804994758673207,2.1012344978062085,2.0780552965655783,0.19048688517497994
33,41,0.4878778335411368,2.1012344978062085,2.1562569139335697,0.2291855867029316
34,40,0.6321383339371,2.2557473267031547,2.1273782514044446,0.2884418083271179
34,47,0.612718580654291,2.2557473267031547,2.0830014696609163,0.28244021924834983
35,37,0.680624071615293,2.2845224783811124,2.1832471164474962,0.30468181367414626
35,38,0.5510853255470811,2.2845224783811124,2.0780552965655783,0.2526420634661649
35,41,0.6590263814925393,2.2845224783811124,2.1562569139335697,0.2968066293196487
35,48,0.574090155291198,2.2845224783811124,2.2838051086474382,0.25133493356355935
35,49,0.7201051350823309,2.2845224783811124,2.086644478894506,0.3294795838826275
36,42,0.4655601861477596,1.9244036455235438,2.141626518415311,0.2289998683614098
36,45,0.484782072241624,1.9244036455235438,2.011323352512478,0.24634944064135367
37,41,0.5841555701166719,2.1832471164474962,2.1562569139335697,0.2692268821630177
37,49,0.4817638170708962,2.1832471164474962,2.086644478894506,0.22565622864826324
38,41,0.5237084184347376,2.0780552965655783,2.1562569139335697,0.24736410184217472
38,48,0.41035409032057896,2.0780552965655783,2.2838051086474382,0.1881555355738345
39,43,0.5398969062261118,2.1875434516802765,2.050556252305743,0.2547825412027601
39,46,0.5173277080299066,2.1875434516802765,2.057547442033673,0.24372986161307203
40,44,0.4160703824256379,2.1273782514044446,2.085179350798285,0.19753813322722344
40,47,0.49235084555490466,2.1273782514044446,2.0830014696609163,0.23387479428117905
41,48,0.49787838455254346,2.1562569139335697,2.2838051086474382,0.22426640980259402
41,49,0.4797937357338791,2.1562569139335697,2.086644478894506,0.22616303859660336
42,45,0.4874438801469236,2.141626518415311,2.011323352512478,0.23474585309069781
43,46,0.38956165479187105,2.050556252305743,2.057547442033673,0.1896552199150429
44,47,0.6192130343286205,2.085179350798285,2.0830014696609163,0.29711428606420337
48,49,0.5366427830109137,2.2838051086474382,2.086644478894506,0.24557783919559437
