V1	V2
0	0
0.51788793216016	0
0	0
0	0
0	0
0.481027671367585	0
-0.351472322516449	0
0	0
0	0
0.0766351185174985	0
0.0949780788480771	0
-0.303286054023192	0
0.0928109045760547	0
0	0
0.162166123392503	0
-0.159757813807656	0
0.0892531235589095	0
0.335495285368937	0
-0.15594134812399	0
0.232037982757761	0
0	0
0.0855335927538358	0
-0.0596880388054511	0
0	0
0	0
0	-0.377099410737149
0	0
0	0
0	0
0	0.513332328779495
0	0.407700783975733
0	-0.250357521871776
0	0.299028151746345
0	0
0	0.310289030785243
0	0
0	-0.120818255744395
0	0
0	0
0	0.193141756814145
0	0.172281430553142
0	0
0	-0.156863180066529
0	0.0852573739467082
0	0.123028342686545
0	-0.137427533005278
0	0.163346644942684
0	0.0743574784268665
0	0
0	0
