12715	358	4685	7988	4898	4720	5851	21292	4664	18171	3190	18216	666	19799	25423	3124	24103																
16265	18095	19819	18632	9588	9290	24531	956	2806	7945	7643	17732	18662	5271																			
7988	6010	24026	19731	14848	22577	1302	337	7764	18216	666	8803	22661	18349	23073	20614	21352	24103															
2351	8142	7813	916	22561	24554																											
542	5414	19678	25191	1586	1583	21065	9535	3405	24916	20490																						
10509	14689	10845	17582	12654	24190	22228	7832	19261	16507	11025	12437	8987	2639																			
23761	21412	10177	835	6483	10179	2570	12154	15129	21452	13714	9426	832	6434	4752	6631	17056	3761	19589	21745													
15650	23866	17866	18669	12444	2610	11621	26119	628	583	3186	8878	21110																				
24471	4447	16785	6924	1148	18439	18436	835	9368	21171	16090	17882	26108	21168	6736	21452	13714	832	17056	14679	9145	21807	4784										
8186	14182	23214	24094	22995	4276	14415																										
8060	10509	6623	10845	12654	6305	24190	5689	15908	21521	22228	7832	19261	16507	12437	8987	2639																
17497	12444	2610	21444	15890	5222	25779	22181	1452	14880	583	8842	24042	21308	8878	16766	14656	15215															
24300	16291	16039	20264	7924	17497	12444	2610	6022	3270	19678	25779	2500	14774	15681	3079	848	25608	20327	477	583	22303	8878	26011	20740								
7988	20330	7764	18216	666	16854	21352	24103																									
9246	12240	613	200	1926	554	16938	13211	12193	11631	9518	584																					
21356	18114	14517	4119	19819	835	9379	12420	7668	12693	15970	19169	7945	7643	13714	14002	6232	832	857														
26058	23975	12194	14704	12444	2610	5391	3708	10508	25779	16905	3079	848	20327	20416	583	8878	425	11631	584													
7752	21356	13506	17645	7519	4119	13539	6178	1098	26214	19169	11836	13891	7446	21452	6232	11715	17056	16407														
4509	13762	7988	24584	7810	25771	15755	22748	337	7764	18216	666	20319	20614	21352	152	21544	20029	24103														
18268	7988	9138	6577	18216	4552	4628	6626	24103																								
21797	1298	9138	9327	20453	22133	334	12692	22645	20252	23342	4628	25148	1140	753	16161	21038	24107	14073	25481													
13291	4123	20581	24861	10812	3144	13559	9557	8708	14535																							
21356	5846	2130	4119	19382	19978	14363	9290	16591	1671	20611	14409	9284	18045	21040	19604	18189	20816															
21356	25749	4119	835	13768	12420	18761	7668	19169	13473	13714	16264	6232	832	9415	3064	6505																
249	22653	1646	14694	24234	22217	22409	16199	12444	2610	3190	22181	24992	583	22658	23835	25199	21308	8878	934													
20788	21078	2130	5215	19978	21845	13745	7196	17860	17046	2761	18045	26039	20768	18189	14635	20816																
249	19521	7290	22653	1646	5561	14694	24234	22217	16063	22409	17673	1560	16199	12444	2610	3190	25289	22181	24817	487	24992	583	22658	23835	25199	21308	8878	934				
21607	13500	752	25763	6694																												
14577	1301	17497	12444	22997	2610	5414	23995	25779	2500	3079	848	20327	8878	23997																		
15650	23699	20907	16816	17497	12444	2610	26032	25779	21522	6242	848	978	583	8878	21110	3108	17991															
6705	18723	9253	24489	13500	1685	16767	8202	17497	12444	2610	5414	25763	4043	25779	2500	6242	25191	6646	3079	848	1590	17763	1583	21065	2099	20327	4535	23853	9535	3405	24916	9639
13291	2668	17813	17727	24571	10642	16765	10009	24861	11373	11779	11401	14304	5451	881	16509	13596	10812	3330	13299	3144	295	11977	19571									
7988	4919	21386	19702	20630	16244	20311	337	7764	18216	666	23351	20614	21352	152	24103																	
2130	18116	19382	19978	6397	19819	3477	16721	2806	20611	6587	7945	7643	2111	16625	3098	25526	18045	9635	18662	3755	18189	20816										
13000	12444	2610	14174	18667	5946	3787	14740	22181	1452	583	22311	25199	10617	8878	5920																	
16229	17497	12444	2610	25779	3079	848	590	14880	583	8878	16766																					
13291	4685	7988	4720	24861	10812	18216	666	3144	24103																							
2599	21356	13553	4119	835	24592	8293	6785	12420	19169	7996	2992	17845	13714	2030	6232	832	9415	8110														
19819	5098	12814	2805	7945	7643	21843	2741	18385	24488	13327	3731																					
6345	20963	4141	7617	11290	6745	7863	7872	7873	7875	7876	7865	7868	7869	7871	7877																	
