gene,Feature,Importance,Importance_normalized
129,Feature_1,0.0009639530557912,1.0405913546304317
273,Feature_2,0.0025636246634187,1.1079523501969064
380,Feature_3,0.0001734234234234,1.007302732886328
542,Feature_4,0.0007869896200822,1.0331395544288258
545,Feature_5,0.0008473642977672,1.0356818877280323
753,Feature_6,0.0,1.0
781,Feature_7,0.0041794535142827,1.1759937153997682
862,Feature_8,0.0006914454806312,1.0291162609457922
1016,Feature_9,0.0004471544715447,1.0188293461180602
1140,Feature_10,0.0007069094807335,1.029767438623363
1333,Feature_11,0.0023370825208471,1.0984128270919
1660,Feature_12,0.0007142857142857,1.0300780463963821
1661,Feature_13,0.0018961757007328,1.0798465649832687
1732,Feature_14,0.005377753224011,1.22645323537214
1965,Feature_15,0.0007754150935736,1.032652159625347
2010,Feature_16,0.0033248187997714,1.1400056757667258
2099,Feature_17,0.0010888624922224,1.0458511991844848
2147,Feature_18,0.0029148944296913,1.1227440618555378
2556,Feature_19,0.0005004777285774,1.0210747492767103
2610,Feature_20,0.0015738487924108,1.0662736157986323
2686,Feature_21,0.0008731044591014,1.036765787001637
2823,Feature_22,0.0,1.0
2890,Feature_23,0.000802962775621,1.0338121722675755
2897,Feature_24,0.0036462733992183,1.153541892665818
3017,Feature_25,0.0024791817774149,1.104396522336613
3074,Feature_26,0.0,1.0
3094,Feature_27,0.0014454782400249,1.060868026195803
3144,Feature_28,0.0004703783433094,1.0198072862874794
3307,Feature_29,0.009157196136503,1.3856027983563202
3321,Feature_30,0.0231622195897003,1.9753440416470966
3591,Feature_31,0.0016798993643828,1.0707393274324237
3741,Feature_32,0.0005206905262321,1.0219258953286325
4108,Feature_33,0.0049136548904995,1.20691039568116
4170,Feature_34,0.0,1.0
4186,Feature_35,0.0007290742882848,1.0307007823772159
4333,Feature_36,0.0025787365272861,1.1085886996764618
4555,Feature_37,0.0016964814649572,1.0714375874990205
4626,Feature_38,0.0010474974693618,1.0441093484769808
4628,Feature_39,0.0007558071350271,1.0318264829036872
4684,Feature_40,0.0008931886145312,1.0376115160240265
4696,Feature_41,0.0005238095238095,1.022057234024013
4730,Feature_42,0.0003886746295392,1.0163668029565278
4879,Feature_43,0.0002454758556024,1.010336807843601
4894,Feature_44,0.0021262482225971,1.0895347497653027
4903,Feature_45,0.0,1.0
4945,Feature_46,0.001175359919838,1.0494935422818705
4958,Feature_47,0.0008769118445583,1.036926113204627
4961,Feature_48,0.0035816407013771,1.1508202572676707
4983,Feature_49,0.0006414932602585,1.0270128096630309
4992,Feature_50,0.0009188935771214,1.0386939331043938
5001,Feature_51,0.0008136231887135,1.0342610744270166
5027,Feature_52,0.0181015498721445,1.7622429596611187
5033,Feature_53,0.0014934657322138,1.0628887442189083
5085,Feature_54,0.0004557961435741,1.0191932405751998
5185,Feature_55,0.0011571779101458,1.0487279112183285
5266,Feature_56,0.0,1.0
5364,Feature_57,0.0,1.0
5381,Feature_58,0.0002563736681887,1.0107957067212268
5398,Feature_59,0.0035492310099758,1.1494555089853458
5535,Feature_60,0.0016414835335116,1.0691216650318043
5628,Feature_61,0.0077766102407308,1.3274673410782012
