Feature,Importance
Feature_1,0.0009639530557912332
Feature_2,0.0025636246634187774
Feature_3,0.0001734234234234234
Feature_4,0.0007869896200822102
Feature_5,0.0008473642977672933
Feature_6,0.0
Feature_7,0.004179453514282773
Feature_8,0.0006914454806312764
Feature_9,0.00044715447154471545
Feature_10,0.0007069094807335953
Feature_11,0.0023370825208471244
Feature_12,0.0007142857142857144
Feature_13,0.001896175700732825
Feature_14,0.005377753224011013
Feature_15,0.0007754150935736612
Feature_16,0.0033248187997714563
Feature_17,0.0010888624922224107
Feature_18,0.002914894429691324
Feature_19,0.000500477728577466
Feature_20,0.0015738487924108536
Feature_21,0.0008731044591014152
Feature_22,0.0
Feature_23,0.0008029627756210037
Feature_24,0.0036462733992183517
Feature_25,0.0024791817774149115
Feature_26,0.0
Feature_27,0.0014454782400249678
Feature_28,0.0004703783433094424
Feature_29,0.009157196136503055
Feature_30,0.023162219589700325
Feature_31,0.0016798993643828896
Feature_32,0.0005206905262321762
Feature_33,0.0049136548904995594
Feature_34,0.0
Feature_35,0.0007290742882848148
Feature_36,0.0025787365272861486
Feature_37,0.0016964814649572568
Feature_38,0.001047497469361867
Feature_39,0.0007558071350271875
Feature_40,0.0008931886145312956
Feature_41,0.0005238095238095239
Feature_42,0.00038867462953927204
Feature_43,0.0002454758556024379
Feature_44,0.0021262482225971814
Feature_45,0.0
Feature_46,0.0011753599198380679
Feature_47,0.0008769118445583223
Feature_48,0.003581640701377109
Feature_49,0.0006414932602585043
Feature_50,0.0009188935771214254
Feature_51,0.00081362318871358
Feature_52,0.018101549872144587
Feature_53,0.0014934657322138382
Feature_54,0.00045579614357412444
Feature_55,0.0011571779101458728
Feature_56,0.0
Feature_57,0.0
Feature_58,0.00025637366818873666
Feature_59,0.00354923100997584
Feature_60,0.0016414835335116645
Feature_61,0.0077766102407308855
Feature_62,0.004122525583892271
Feature_63,0.0013980365105900367
Feature_64,0.034719118541624246
Feature_65,0.005533129176835678
Feature_66,0.003797313371771045
Feature_67,0.0004832404714958138
Feature_68,0.0012641704003961904
Feature_69,0.003992165773221424
Feature_70,0.0016228245205332466
Feature_71,0.0001225614548203857
Feature_72,0.0009087072017532441
Feature_73,0.0009789114571031477
Feature_74,0.0
Feature_75,0.004251179907077513
Feature_76,0.0009930144485565864
Feature_77,0.007067860248723527
Feature_78,0.0021629062423565103
Feature_79,0.00021716904635995062
Feature_80,0.01876471101224942
Feature_81,0.002060608273652602
Feature_82,0.0007512829583481988
Feature_83,0.002945502585025426
Feature_84,0.002643997716833112
Feature_85,0.001031580981491669
Feature_86,0.0020749435966015617
Feature_87,0.0002514639639639638
Feature_88,0.00024535162693057434
Feature_89,0.0011007223335867838
Feature_90,0.00019533231861998987
Feature_91,0.002521572598148019
Feature_92,0.0009030897694133072
Feature_93,0.008454658028584914
Feature_94,0.000373611220318327
Feature_95,0.0002309191782875993
Feature_96,0.0
Feature_97,0.0012107890928908791
Feature_98,0.0008775467148884869
Feature_99,0.0019161292265964436
Feature_100,0.0002530018603077963
Feature_101,0.002303740431972659
Feature_102,0.0019166738147357594
Feature_103,0.0018078020709874612
