1	3
1	4
1	5
1	8
1	14
1	24
1	25
1	27
1	28
1	29
1	34
1	36
1	38
1	39
1	42
1	49
2	10
2	13
2	17
2	20
3	4
3	8
3	9
3	14
3	24
3	25
3	27
3	29
3	38
3	42
3	49
4	5
4	9
4	21
4	24
4	25
4	27
4	28
4	29
4	34
4	36
4	38
4	39
4	42
4	49
5	8
5	9
5	14
5	24
5	25
5	28
5	29
5	34
5	39
5	42
5	49
5	50
6	11
6	15
6	18
6	22
7	12
7	16
7	19
7	23
8	9
8	24
8	25
8	27
8	29
8	34
8	36
8	38
8	39
8	42
8	50
9	14
9	24
9	25
9	27
9	28
9	29
9	36
9	38
9	39
9	49
10	13
10	17
10	20
11	15
11	18
11	22
12	19
12	23
13	17
13	20
14	24
14	27
14	28
14	29
14	34
14	36
14	38
14	39
14	50
15	18
15	22
16	19
16	23
17	20
18	22
19	23
21	24
21	25
21	29
21	34
21	36
21	38
21	42
21	50
24	25
24	27
24	28
24	38
24	39
24	50
25	27
25	28
25	36
25	38
25	39
25	42
25	50
26	32
26	37
26	43
26	46
27	28
27	29
27	36
27	38
27	42
27	49
27	50
28	29
28	34
28	36
28	38
28	39
28	42
28	49
28	50
29	34
29	39
29	42
29	49
29	50
30	33
30	40
30	44
30	47
31	41
31	45
31	48
32	43
32	46
33	40
33	44
33	47
34	36
34	39
34	42
35	41
35	48
36	38
36	39
36	42
36	49
36	50
37	43
37	46
38	42
38	50
39	42
39	49
40	44
40	47
41	45
41	48
42	49
42	50
43	46
44	47
45	48
49	50
